Timestamp,ImageName,Text,Target
1_d_c88-7udwldiF6oq61uPQ,data\keylogging\instance_test\images\1_d_c88-7udwldiF6oq61uPQ.png,pay invoice visa payment amount elt name card john wave card number visa expirydate security code mm yy zip postal code pay,2
ae,data\keylogging\instance_test\images\ae.png,qm make sure you check out the change to your order payment info the billing info enter saved manage saved payment account setting redeem gift card ace credit debit card credit card exp mm yy cv phone number in case there billing issue save credit card information billing address same shipping address secure your credit card charged entire order ship qo chat,2
amazon,data\keylogging\instance_test\images\amazon.png,card number amazon accepts major credit debit card name card visa expiration date vy co use default payment cancel add card,2
asos,data\keylogging\instance_test\images\asos.jpg,the following error occurred card number contains invalid character we see card number se cardholder name end date mmyyy start date mm yy issue number optional remember detail future use optional,2
credit-card-form,data\keylogging\instance_test\images\credit-card-form.png,confirm purchase owner cw card number expiration date,2
creditcard_ui1,data\keylogging\instance_test\images\creditcard_ui1.png,billing information check visa whatis iference ee the charge appear credit card atomic league llc credit card card number name card expires security code where find this address line address line lunderstand atomic league process refund more information,2
CustomInput8,data\keylogging\instance_test\images\CustomInput8.png,yv amount detail payment complete contribution make monthly count in re is paypal credit card number may which issue important you renewable energy clean water sustainable food system,2
echeck_ui,data\keylogging\instance_test\images\echeck_ui.png,billing information the charge appear bank statement atomic league llc routing number where find this account number where find this name bank account bank name account type lunderstand atomic league process refund more information,2
etsy,data\keylogging\instance_test\images\etsy.png,add anew card name card card number expiration date security code oo billing address shipping address save payment information next purchase caneel,2
facetheory,data\keylogging\instance_test\images\facetheory.png,payment you re second away completing order you pay paypal debit credit card klarna pay later all transaction secure encrypted remember too order guaranteed day satisfaction guarantee happy give money back credit card visa card number name card expiration date mm yy security code na paypal ff bancontact mollie sofort banking mollie buy now pay later klarna kemal redeem point point use slider apply discount redeem for gift card discount code subtotal shipping total eur including tax,2
h&m,data\keylogging\instance_test\images\h&m.png,payment how would like pay add gift card cara first name please enter first name last name please enter last name card number expiration date card expiration date cardholder address simcoe st toronto on mst visa visa cvv cvc digit security code printed onyour card discount apply discount order value delivery free gst hst total we process personal data accordance privacy notice by continuing agree im general term condition please note tax amount estimation final amount change complete purchase customer service need help please contact customer service delivery return option,2
image,data\keylogging\instance_test\images\image.png,credit card information error card ccn please credit card card number eve expiration date paypal paypal,2
mDjtL,data\keylogging\instance_test\images\mDjtL.jpg,payment detail name card credit card number cw expiration date enter name enter number enter cv mm shipping detail,2
nordpass,data\keylogging\instance_test\images\nordpass.png,title required card detail cardholder name card number required expiration date card pin oe cvv zip postal code oe,2
research-media-file-7db183e6a2f35e9773860bbc7cfa9d87,data\keylogging\instance_test\images\research-media-file-7db183e6a2f35e9773860bbc7cfa9d87.jpg,payment apply gift reward card you apply be apply card choose payment method credit cara paypal card type select card number expiration date security code billing address use shipping address first name last name pa,2
research-media-file-adc267022b77cc1ce6379999d478fdcc,data\keylogging\instance_test\images\research-media-file-adc267022b77cc1ce6379999d478fdcc.jpg,secure checkout edit shopping bag shipping information order summary item bag billing address shipping handling payment option subtotal est tax balance applied paypal tocreditcard credit card credit card number we accept major credit card free shipping xk xxxx xxxx xk purchase detail expiration security code continue to review order month year what this bean buck available what bean buck norton secured verisign,2
research-media-file-df02e0cb39cce2a1de469828493a3995,data\keylogging\instance_test\images\research-media-file-df02e0cb39cce2a1de469828493a3995.jpg,secure checkout john lewis delivery review pay receipt review pay al use gift card gift voucher payment detail ea visa card type hr partnership card use paypal card number expiry date mm yyyy name card security number sreren your billing address,2
Screenshot 2022-06-02 100838,data\keylogging\instance_test\images\Screenshot 2022-06-02 100838.png,checkor nent amount payment method customer information payment method payment detail ubtot transaction fee total,1
Screenshot 2022-06-13 152314,data\keylogging\instance_test\images\Screenshot 2022-06-13 152314.png,your xx com poet ey your rede local fron time the co hom ab sep canix amazonnl en cpe yourpayments wallet ref ya pmt mpo ax meen an canvas calculator detexify dictionary osiris planapp icloud bookmyspace driving theory pisep qseppive amo oo lab go ff other bookmark add credit debit card card number amazon accepts major credit debit card name card visa ndate cancel add card type search ch ro cy lr ze coe bi,2
Screenshot 2022-06-13 153921,data\keylogging\instance_test\images\Screenshot 2022-06-13 153921.png,comp poetry localh front time bb sept word iamsterdam com en canvas calculator detexify dictionary siris icloud ey kmyspace driving theory br sep sep drive menu language visa visa credit card iam mastercard credit card your shopping basket mastercard hour city card bp paypal paypal digital card smartphone total american express credit card your information ideal continue to payment maestro credit card maestro go back sofort louse jcb creditcard,2
Screenshot 2022-06-13 153955,data\keylogging\instance_test\images\Screenshot 2022-06-13 153955.png,comp poetr localh front time word paym secure ogone com ew lator detexify dictionar icloud bo oq payment confirmation order reference payment total charge eur beneficiary amsterdam via ingenico financial solution nv sa pay card number can actuall maestro card expiry date mm yyyy card verification code what this mandatory field yes confirm payment which personal information collected used worldline aw about worldline security legal info back,2
Screenshot 2022-06-13 154949,data\keylogging\instance_test\images\Screenshot 2022-06-13 154949.png,your xx com poet efe ic mh rede local fron xx time hom ab sep gith sant ba bole pi sep sepprive gc bw ae gc bm other bookmark bol com nl mwy checkout bligh ub ckh gkpvlng login modal credit card new ser bar an canvas calculator detexify dictionary osiris planapp icloud bookmyspace fj driving theory credit card card number expiry date mm jj often marked valid thru cvc cid code name card le save card detail further type search oo ei by enn bt,2
Screenshot 2022-06-13 155658,data\keylogging\instance_test\images\Screenshot 2022-06-13 155658.png,comp poet bb reden localh fronte time shop flower nl lator detexify dictiona vi sep drive select size small vase no vase add chocolate select card type lot strength sterkte your message card love ig detail the shipping method use delivery you enter address delivery detail next page netherlands local florist select want pay later note this preselection only filling delivery address detail next page ask pay apple pay mastercard wsa visa bancontact sofort giropay visa lex credit card do voucher discount code you may enter here sale tax inc total alarlir mvelela on next page enter delivery detail,2
Screenshot 2022-06-13 155838,data\keylogging\instance_test\images\Screenshot 2022-06-13 155838.png,comp poetr localt front time payv multisafepay com tor detexify dictionary sep drive urlowers delivering emotion www flower nl your florist webshop order detail order tot eur mastercard bank banktransfer ideal bancontact tan ences american express maestro visa visa giropay,2
Screenshot 2022-06-13 155854,data\keylogging\instance_test\images\Screenshot 2022-06-13 155854.png,comp poetr localt front payv multisafepay com tor detexify dictionary ving thi sep drive bi flower www flower nl your florist webshop order detail order total eur mastercard card number card holder expiry date cvc cvv cancel powered multisafepay,2
