Timestamp,Text,Target
1_d_c88-7udwldiF6oq61uPQ,"Pay Invoice

visa @D

Payment amount
$500.00 elt

Name on card

“

John Wave

Card number

4242 | ‘VISA

Expirydate __Security code
MM /YY e

ZIP/Postal code
e

B Pay $500.00

",2
ae,"(QM MAKE SURE YOU CHECK OUT THE CHANGES TO YOUR ORDER.

Payment Info

The billing info you enter will be saved. Manage your saved payments in account settings.

Redeem a Gift Card

aces

Credit or Debit Card

Credit Card

Exp. (MM/YY) cv

Phone Number

+31
In case there's a billing issue @)

Save this credit card information

Billing Address

v) Same as Shipping Address

@& Secure

an

Your credit card won't be charged until the entire order ships.

QO Chat
",2
amazon,"[+]

Card number Amazon accepts all major credit and debit
cards:

Name on card VISA

Expiration date 01 vy 2022 v

CO Use as my default payment

Cancel [ Add your card

",2
asos,"“The following errors have occurred:

‘= the card number contains invalid characters

we? See
L2e

Card Number |) Se)

Cardholder Name

End Date (mmyyy) |

Start Date (mm/yy)

Issue Number (Optional

“Remember these details for future use

(Optional
",2
credit-card-form,"Confirm Purchase

Owner cw
Card Number

Expiration Date

re >

",2
creditcard_ui1,"Billing Information

—
Check VISA ES (whatis the iference?)
ee

‘The charge will appear on your credit card as Atomic Leagues, LLC.

*Credit Card:

*Card Number:

*Name on Card:

“Expires: = >

* Security Code: (where do I find this?)
“Address (line 1):

Address (line 2):

© “Lunderstand that Atomic Leagues does not process refunds. (more information)
",2
CustomInput8,"yv Amount ($10) y Details 3) Payment

Complete your $10 contribution:

Make it monthly!

a count me in!

© RE |@8| iS 5 © PayPal

Credit card number

05 - May 2020

Which issue is most important to you?

© Renewable energy

©. Clean water

©. Sustainable food systems

",2
echeck_ui,"@ Billing information

‘The charge will appear on your bank statement as Atomic Leagues, LLC.

* Routing Number: (where do I find this?)

* Account Number: (where do I find this?)

* Name on Bank
Account:

* Bank Name:

* Account Type:

© “Lunderstand that Atomic Leagues does not process refunds. (more information)

",2
etsy,"Add anew card

Name on card *

Card number *

Expiration date * Security code*

1 Y a @

OO» billing address is the same as my shipping address:

Save my payment information for my next purchase

Caneel c=

",2
facetheory,"Payment

You're seconds away from completing your order. You can pay by Paypal, debit or credit
card or Klarna Pay Later. All transactions are secure and encrypted. Remember too, all
orders are guaranteed by our 365 day satisfaction guarantee - if you're not happy we
give you your money back.

© Credit card visa @® Es

Card number A @&@

Name on card

Expiration date (MM / YY) Security code nA @

P PayPal

fF)

Bancontact (Mollie)

SOFORT Banking (Mollie)

Buy now, pay later with Klarna Kemal

Redeem points 2,240 points
Use the slider to apply a discount.

2a REDEEM FOR €1

Gift card or discount code

Subtotal 16,24€
Shipping 499€

Total eur 21,23 €

Including 3,69 € in taxes
",2
h&m,"Payment.

How would you like to pay?

Add Gift Cards

@ cara

First name*

Please enter your first name

Last name *

Please enter your last name

Card number *

Expiration date *

Card expiration date

Cardholder address

220 Simcoe St
Toronto ON, MST 1T4

VISA @® VISA

cvv/cvc *

3-4 digit security code printed
onyour card

Discounts Apply discount
Order value $39.99
Delivery FREE
GST/HST $5.20
Total $45.19

We will process your personal data in accordance with

H&M’s Privacy Notice.

By continuing, you agree to
H&iM's General Terms and Conditions

Please note that the tax amount is an estimation and

the final amount can change.

Complete purchase

Customer Service

Need help? Please contact Customer Service.

&)_ Delivery and return options
",2
image,"Credit Card Information

Error with card: ccn. Please

Credit Card

Card number eve

4263 9826 4026 9299 123

Expiration Date:

01/22

PayPal

PayPal

",2
mDjtL,"Payment Details

Name on Card Credit Card Number cw Expiration Date

Enter your name here Enter number here Enter CV here MM

Shipping Details

",2
nordpass,"Title*

* Required

Card Details

Cardholder Name

Card Number*

* Required

Expiration Date

Card PIN

®oe®

CVV

ZIP or Postal Code

®oe®
",2
research-media-file-7db183e6a2f35e9773860bbc7cfa9d87,"Payment

Apply Gift & Rewards Cards

You can apply up to 5.
BES APPLY CARD

Choose Payment Method

© Credit Cara P PayPal
Card type

Select v

Card number

Expiration date

01 v 2016 v

Security code

Billing Address

Use my shipping address

First name

Last name

Pa eS a
",2
research-media-file-adc267022b77cc1ce6379999d478fdcc,"& Secure Checkout Edit Shopping Bag

Y 1. Shipping Information Order Summary
” 1 item in Bag: $4.95
Y 2. Billing Address Shipping & Handling: $6.00

3. Payment Options ‘Subtotal: $10.95
Est. Tax: $0.90
Balance to be Applied
B PayPal toCreditCard $11.85

© Credit Card

Credit Card Number (we accept all major credit cards)

[oS FREE SHIPPING with
XK XXXX XXXX XK $50 Purchase. Details

Expiration Security Code CONTINUE TO REVIEW ORDER
{Month +) [Year +) What's this?

Bean Bucks
$0.00 Available

What are Bean Bucks?

Norton

SECURED

by Verisign
",2
research-media-file-df02e0cb39cce2a1de469828493a3995,"@ Secure checkout John Lewis % 03456 049 049

2 2) 3

Delivery Review & pay Receipt

Review and pay

Z//al Use gift cards or gift vouchers

Payment details Eas VISAS
Card type
HRS Partnership Card 4, or Use PayPal
Card number Expiry date

MM #| | YYYY +

Name on card

Security number

Sreren

Your billing address

",2
