img_name,text,target
data\training\imgs_creditcard\1_d_c88-7udwldiF6oq61uPQ.png,pay invoice visa payment amount elt name card john wave card number visa expirydate security code mm yy zip postal code pay,2
data\training\imgs_creditcard\ae.png,qm make sure you check out the change to your order payment info the billing info enter saved manage saved payment account setting redeem gift card ace credit debit card credit card exp mm yy cv phone number in case there billing issue save credit card information billing address same shipping address secure your credit card charged entire order ship qo chat,2
data\training\imgs_creditcard\amazon.png,card number amazon accepts major credit debit card name card visa expiration date vy co use default payment cancel add card,2
data\training\imgs_creditcard\asos.jpg,the following error occurred card number contains invalid character we see card number se cardholder name end date mmyyy start date mm yy issue number optional remember detail future use optional,2
data\training\imgs_creditcard\credit-card-form.png,confirm purchase owner cw card number expiration date,2
data\training\imgs_creditcard\creditcard_ui1.png,billing information check visa whatis iference ee the charge appear credit card atomic league llc credit card card number name card expires security code where find this address line address line lunderstand atomic league process refund more information,2
data\training\imgs_creditcard\CustomInput8.png,yv amount detail payment complete contribution make monthly count in re is paypal credit card number may which issue important you renewable energy clean water sustainable food system,2
data\training\imgs_creditcard\echeck_ui.png,billing information the charge appear bank statement atomic league llc routing number where find this account number where find this name bank account bank name account type lunderstand atomic league process refund more information,2
data\training\imgs_creditcard\etsy.png,add anew card name card card number expiration date security code oo billing address shipping address save payment information next purchase caneel,2
data\training\imgs_creditcard\facetheory.png,payment you re second away completing order you pay paypal debit credit card klarna pay later all transaction secure encrypted remember too order guaranteed day satisfaction guarantee happy give money back credit card visa card number name card expiration date mm yy security code na paypal ff bancontact mollie sofort banking mollie buy now pay later klarna kemal redeem point point use slider apply discount redeem for gift card discount code subtotal shipping total eur including tax,2
data\training\imgs_creditcard\h&m.png,payment how would like pay add gift card cara first name please enter first name last name please enter last name card number expiration date card expiration date cardholder address simcoe st toronto on mst visa visa cvv cvc digit security code printed onyour card discount apply discount order value delivery free gst hst total we process personal data accordance privacy notice by continuing agree im general term condition please note tax amount estimation final amount change complete purchase customer service need help please contact customer service delivery return option,2
data\training\imgs_creditcard\image.png,credit card information error card ccn please credit card card number eve expiration date paypal paypal,2
data\training\imgs_creditcard\mDjtL.jpg,payment detail name card credit card number cw expiration date enter name enter number enter cv mm shipping detail,2
data\training\imgs_creditcard\nordpass.png,title required card detail cardholder name card number required expiration date card pin oe cvv zip postal code oe,2
data\training\imgs_creditcard\research-media-file-7db183e6a2f35e9773860bbc7cfa9d87.jpg,payment apply gift reward card you apply be apply card choose payment method credit cara paypal card type select card number expiration date security code billing address use shipping address first name last name pa,2
